Date,Description,Amount,Balance
4/29/2023 02:44PM,Panther Grocery 74,-10.17,180.58
4/28/2023 06:29PM,Panther Dining 70 WS6,-10.00,190.75
4/28/2023 03:01PM,Panther Grocery 74,-6.28,200.75
4/28/2023 10:24AM,Panther Grocery 74,-3.54,207.03
4/27/2023 06:50PM,Panther Grocery 74,-10.27,210.57
4/27/2023 02:34PM,Panther Grocery 74,-10.47,220.84
4/26/2023 06:21PM,Panther Grocery 74,-3.48,231.31
4/26/2023 02:59PM,UGRYD 5900 Vending,-2.60,234.79
4/26/2023 01:04PM,Panther Grocery 74,-8.18,237.39
4/26/2023 10:19AM,Panther Grocery 74,-7.13,245.57
4/25/2023 04:45PM,Panther Grocery 74,-9.16,252.70
4/25/2023 01:01PM,Panther Grocery 74,-6.58,261.86
4/25/2023 09:44AM,Panther Grocery 74,-4.83,268.44
4/24/2023 07:29PM,Panther Grocery 74,-7.18,273.27
4/24/2023 12:53PM,Panther Dining 71 WS6,-9.00,280.45
4/24/2023 10:17AM,Panther Grocery 74,-5.53,289.45
4/23/2023 09:06PM,Rat Main Line 83,-12.18,294.98
4/23/2023 02:22PM,Panther Grocery 74,-7.78,307.16
4/23/2023 10:22AM,Panther Grocery 74,-3.54,314.94
4/22/2023 06:25PM,Panther Grocery 74,-4.79,318.48
4/22/2023 03:52PM,Panther Grocery 74,-7.37,323.27
4/22/2023 10:19AM,Panther Grocery 74,-5.54,330.64
4/21/2023 07:08PM,Panther Dining 70 WS6,-10.00,336.18
4/21/2023 01:59PM,Panther Grocery 74,-9.47,346.18
4/21/2023 08:57AM,Panther Grocery 74,-3.54,355.65
4/20/2023 05:09PM,Panther Grocery 74,-4.79,359.19
4/20/2023 12:58PM,Center Court 76,-8.08,363.98
4/20/2023 10:07AM,Panther Grocery 74,-5.54,372.06
4/19/2023 06:26PM,Panther Grocery 74,-8.87,377.60
4/19/2023 01:41PM,Panther Grocery 74,-6.58,386.47
4/19/2023 10:24AM,Panther Grocery 74,-5.54,393.05
4/18/2023 05:09PM,Panther Grocery 74,-9.47,398.59
4/18/2023 12:58PM,Panther Grocery 74,-6.58,408.06
4/18/2023 09:35AM,Panther Grocery 74,-4.83,414.64
4/17/2023 06:27PM,Panther Grocery 74,-5.68,419.47
4/17/2023 12:52PM,Panther Dining 70 WS6,-9.00,425.15
4/17/2023 09:59AM,Panther Grocery 74,-5.53,434.15
4/16/2023 07:11PM,Panther Grocery 74,-9.47,439.68
4/16/2023 02:08PM,Panther Grocery 74,-5.58,449.15
4/16/2023 10:13AM,Panther Grocery 74,-3.54,454.73
4/15/2023 06:05PM,Panther Dining 70 WS6,-10.00,458.27
4/15/2023 12:53PM,Panther Grocery 74,-8.18,468.27
4/15/2023 09:29AM,Panther Grocery 74,-5.53,476.45
4/14/2023 07:54PM,Panther Grocery 74,-4.79,481.98
4/14/2023 04:27PM,UGRYD 5900 Vending,-2.80,486.77
4/14/2023 04:26PM,UGRYD 5900 Vending,-1.75,489.57
4/14/2023 12:53PM,Panther Dining 71 WS6,-9.00,491.32
4/14/2023 08:12AM,Panther Grocery 74,-5.53,500.32
4/13/2023 05:14PM,Panther Grocery 74,-9.57,505.85
4/13/2023 01:09PM,Panther Grocery 74,-4.29,515.42
4/13/2023 09:30AM,Panther Grocery 74,-5.54,519.71
4/12/2023 06:28PM,Panther Grocery 74,-9.37,525.25
4/12/2023 01:34PM,Panther Grocery 74,-4.29,534.62
4/12/2023 10:09AM,Panther Grocery 74,-5.53,538.91
4/11/2023 05:02PM,Panther Grocery 74,-9.27,544.44
4/11/2023 12:59PM,Panther Grocery 74,-5.38,553.71
4/11/2023 09:06AM,Panther Grocery 74,-4.83,559.09
4/10/2023 06:30PM,Panther Grocery 74,-7.18,563.92
4/10/2023 12:53PM,Panther Dining 71 WS6,-9.00,571.10
4/10/2023 09:19AM,Panther Grocery 74,-3.54,580.10
4/09/2023 05:18PM,Panther Dining 70 WS6,-10.00,583.64
4/09/2023 10:24AM,Panther Grocery 74,-5.73,593.64
4/08/2023 06:09PM,Panther Grocery 74,-11.66,599.37
4/08/2023 10:03AM,Panther Grocery 74,-5.54,611.03
4/07/2023 05:14PM,Panther Dining 71 WS6,-10.00,616.57
4/07/2023 12:54PM,Center Court 76,-8.08,626.57
4/07/2023 09:09AM,Panther Grocery 74,-5.29,634.65
4/06/2023 05:00PM,Panther Dining 71 WS6,-10.00,639.94
4/06/2023 01:03PM,Panther Grocery 74,-7.28,649.94
4/06/2023 09:15AM,Panther Grocery 74,-5.54,657.22
4/05/2023 06:34PM,Panther Grocery 74,-4.79,662.76
4/05/2023 01:10PM,Panther Grocery 74,-5.19,667.55
4/05/2023 08:27AM,Panther Grocery 74,-3.54,672.74
4/04/2023 06:25PM,Panther Grocery 72,-5.68,676.28
4/04/2023 04:50PM,UGRYD 5900 Vending,-2.55,681.96
4/04/2023 04:48PM,UGRYD 5900 Vending,-2.60,684.51
4/04/2023 12:59PM,Panther Grocery 74,-4.29,687.11
4/04/2023 08:41AM,Panther Grocery 74,-5.53,691.40
4/03/2023 06:26PM,Panther Grocery 74,-11.56,696.93
4/03/2023 12:54PM,Panther Dining 71 WS6,-9.00,708.49
4/03/2023 08:13AM,Panther Grocery 74,-5.53,717.49
4/02/2023 07:06PM,Panther Dining 70 WS6,-10.00,723.02
4/02/2023 02:25PM,Panther Grocery 74,-6.28,733.02
4/02/2023 10:09AM,Panther Grocery 74,-5.53,739.30
4/01/2023 04:33PM,Panther Dining 70 WS6,-10.00,744.83
4/01/2023 10:27AM,Panther Grocery 74,-9.13,754.83
